400,250,-100,400,-250,-100,-300,350,-100,-300,-350,-100
400,250,0,400,-250,-100,-300,350,-100,-300,-350,-100
400,450,0,400,-250,-100,-300,350,-100,-300,-350,-100
400,450,-100,400,-250,-100,-300,350,-100,-300,-350,-100
383.3333333,433.3333333,-100,383.3333333,-266.6666667,-100,-316.6666667,333.3333333,-100,-316.6666667,-366.6666667,-100
366.6666667,416.6666667,-100,366.6666667,-283.3333333,-100,-333.3333333,316.6666667,-100,-333.3333333,-383.3333333,-100
350,400,-100,350,-300,-100,-350,300,-100,-350,-400,-100
333.3333333,383.3333333,-100,333.3333333,-316.6666667,-100,-366.6666667,283.3333333,-100,-366.6666667,-416.6666667,-100
316.6666667,366.6666667,-100,316.6666667,-333.3333333,-100,-383.3333333,266.6666667,-100,-383.3333333,-433.3333333,-100
300,350,-100,300,-350,-100,-400,250,-100,-400,-450,-100
300,350,-100,300,-350,-100,-400,250,-100,-400,-450,0
300,350,-100,300,-350,-100,-400,250,-100,-400,-250,0
300,350,-100,300,-350,-100,-400,250,-100,-400,-250,-100
300,350,-100,300,-350,-100,-400,250,0,-400,-250,-100
300,350,-100,300,-350,-100,-400,450,0,-400,-250,-100
300,350,-100,300,-350,-100,-400,450,-100,-400,-250,-100
316.6666667,333.3333333,-100,316.6666667,-366.6666667,-100,-383.3333333,433.3333333,-100,-383.3333333,-266.6666667,-100
333.3333333,316.6666667,-100,333.3333333,-383.3333333,-100,-366.6666667,416.6666667,-100,-366.6666667,-283.3333333,-100
350,300,-100,350,-400,-100,-350,400,-100,-350,-300,-100
366.6666667,283.3333333,-100,366.6666667,-416.6666667,-100,-333.3333333,383.3333333,-100,-333.3333333,-316.6666667,-100
383.3333333,266.6666667,-100,383.3333333,-433.3333333,-100,-316.6666667,366.6666667,-100,-316.6666667,-333.3333333,-100
400,250,-100,400,-450,-100,-300,350,-100,-300,-350,-100
400,250,-100,400,-450,0,-300,350,-100,-300,-350,-100
400,250,-100,400,-250,0,-300,350,-100,-300,-350,-100
400,250,-100,400,-250,-100,-300,350,-100,-300,-350,-100
